"","GSE_ID","title","phenotype","tissuetype"
"GSM300864","GSE11906","small airways, LODs-131","Smoker","small_airways"
"GSM300865","GSE11906","small airways, LODs-164","Smoker","small_airways"
"GSM300866","GSE11906","small airways, LODs-194","Smoker","small_airways"
"GSM300867","GSE11906","small airways, LODs-195","Smoker","small_airways"
"GSM300868","GSE11906","small airways, LODs-204","Smoker","small_airways"
"GSM300869","GSE11906","small airways, LODs-208","Smoker","small_airways"
"GSM300870","GSE11906","small airways, LODs-215","Smoker","small_airways"
"GSM300871","GSE11906","small airways, SYMs-090","Smoker","small_airways"
"GSM300872","GSE11906","small airways, SYMs-127","Smoker","small_airways"
"GSM300873","GSE11906","small airways, SYMs-144","Smoker","small_airways"
"GSM300874","GSE11906","small airways, SYMs-151","Smoker","small_airways"
"GSM300875","GSE11906","small airways, SYMs-002","Smoker","small_airways"
"GSM300876","GSE11906","small airways, SYMs-021","Smoker","small_airways"
"GSM300877","GSE11906","small airways, SYMs-035","Smoker","small_airways"
"GSM300878","GSE11906","small airways, SYMs-057","Smoker","small_airways"
"GSM300879","GSE11906","small airways, SYMs-108","Smoker","small_airways"
"GSM300880","GSE11906","small airways, SYMs-171","Smoker","small_airways"
"GSM300881","GSE11906","trachea, non-smoker 004","Healthy Non-Smoker","trachea"
"GSM300882","GSE11906","trachea, non-smoker 005","Healthy Non-Smoker","trachea"
"GSM300883","GSE11906","trachea, non-smoker 011","Healthy Non-Smoker","trachea"
"GSM300884","GSE11906","trachea, non-smoker 015","Healthy Non-Smoker","trachea"
"GSM300885","GSE11906","trachea, non-smoker 021","Healthy Non-Smoker","trachea"
"GSM300886","GSE11906","trachea, non-smoker 022","Healthy Non-Smoker","trachea"
"GSM300887","GSE11906","trachea, non-smoker 023","Healthy Non-Smoker","trachea"
"GSM300888","GSE11906","trachea, non-smoker 029","Healthy Non-Smoker","trachea"
"GSM300889","GSE11906","trachea, non-smoker 036","Healthy Non-Smoker","trachea"
"GSM300890","GSE11906","trachea, non-smoker 039","Healthy Non-Smoker","trachea"
"GSM300891","GSE11906","trachea, non-smoker 041","Healthy Non-Smoker","trachea"
"GSM300892","GSE11906","trachea, non-smoker 046","Healthy Non-Smoker","trachea"
"GSM300893","GSE11906","trachea, non-smoker 047","Healthy Non-Smoker","trachea"
"GSM300894","GSE11906","trachea, non-smoker 048","Healthy Non-Smoker","trachea"
"GSM300895","GSE11906","trachea, non-smoker 050","Healthy Non-Smoker","trachea"
"GSM300896","GSE11906","trachea, non-smoker 059","Healthy Non-Smoker","trachea"
"GSM300897","GSE11906","trachea, non-smoker 066","Healthy Non-Smoker","trachea"
"GSM300898","GSE11906","trachea, smoker 042","Smoker","trachea"
"GSM300899","GSE11906","trachea, smoker 044","Smoker","trachea"
"GSM300900","GSE11906","trachea, smoker 058","Smoker","trachea"
"GSM300901","GSE11906","trachea, smoker 086","Smoker","trachea"
"GSM300902","GSE11906","trachea, smoker 087","Smoker","trachea"
"GSM300903","GSE11906","trachea, smoker 093","Smoker","trachea"
"GSM300904","GSE11906","trachea, smoker 112","Smoker","trachea"
"GSM300905","GSE11906","trachea, smoker 120","Smoker","trachea"
"GSM300906","GSE11906","trachea, smoker 124","Smoker","trachea"
"GSM300907","GSE11906","trachea, smoker 130","Smoker","trachea"
"GSM300908","GSE11906","trachea, smoker 134","Smoker","trachea"
"GSM300909","GSE11906","trachea, smoker 136","Smoker","trachea"
"GSM300910","GSE11906","trachea, smoker 152","Smoker","trachea"
"GSM300911","GSE11906","trachea, smoker 164","Smoker","trachea"
"GSM300912","GSE11906","trachea, smoker 186","Smoker","trachea"
"GSM300913","GSE11906","trachea, SYMs-127","Smoker","trachea"
"GSM300914","GSE11906","trachea, SYMs-144","Smoker","trachea"
"GSM300915","GSE11906","trachea, SYMs-151","Smoker","trachea"
"GSM101095...395","GSE18385","small airways, non-smoker 001, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101096...396","GSE18385","small airways, non-smoker 004, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101097...397","GSE18385","small airways, non-smoker 002, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101098...398","GSE18385","small airways, non-smoker 003, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101100...399","GSE18385","small airways, non-smoker 006, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101101...400","GSE18385","small airways, non-smoker 021, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101102...401","GSE18385","small airways, non-smoker 019, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101103...402","GSE18385","small airways, non-smoker 014, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101104...403","GSE18385","small airways, non-smoker 008, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101105...404","GSE18385","small airways, non-smoker 015, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101106...405","GSE18385","small airways, non-smoker 005, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101107...406","GSE18385","small airways, smoker 002, RMA and MAS","Smoker","small_airways"
"GSM101111...407","GSE18385","small airways, smoker 001, RMA and MAS","Smoker","small_airways"
"GSM101113...408","GSE18385","small airways, smoker 048, RMA and MAS","Smoker","small_airways"
"GSM101114...409","GSE18385","small airways, smoker 041, RMA and MAS","Smoker","small_airways"
"GSM101115...410","GSE18385","small airways, smoker 044, RMA and MAS","Smoker","small_airways"
"GSM101116...411","GSE18385","small airways, smoker 049, RMA and MAS","Smoker","small_airways"
"GSM114089...412","GSE18385","small airways, smoker 058, MAS5","Smoker","small_airways"
"GSM114090...413","GSE18385","small airways, smoker 063, MAS5","Smoker","small_airways"
"GSM190149...414","GSE18385","Small airways, non-smoker 011","Healthy Non-Smoker","small_airways"
"GSM190150...415","GSE18385","Small airways, non-smoker 029","Healthy Non-Smoker","small_airways"
"GSM190151...416","GSE18385","small airways, non-smoker 034","Healthy Non-Smoker","small_airways"
"GSM190152...417","GSE18385","Small airways, non-smoker 035","Healthy Non-Smoker","small_airways"
"GSM190153...418","GSE18385","Small airways, non-smoker 036","Healthy Non-Smoker","small_airways"
"GSM190154...419","GSE18385","Small airways, non-smoker 040","Healthy Non-Smoker","small_airways"
"GSM190155...420","GSE18385","Small airways, non-smoker 042","Healthy Non-Smoker","small_airways"
"GSM190156...421","GSE18385","small airways, non-smoker 044","Healthy Non-Smoker","small_airways"
"GSM252801","GSE18385","large airways, non-smoker 005","Healthy Non-Smoker","large_airways"
"GSM252802","GSE18385","large airways, non-smoker 008","Healthy Non-Smoker","large_airways"
"GSM252803...424","GSE18385","large airways, non-smoker 011","Healthy Non-Smoker","large_airways"
"GSM252804","GSE18385","large airways, non-smoker 030","Healthy Non-Smoker","large_airways"
"GSM252805...426","GSE18385","large airways, non-smoker 035","Healthy Non-Smoker","large_airways"
"GSM252806...427","GSE18385","large airways, non-smoker 042","Healthy Non-Smoker","large_airways"
"GSM252807...428","GSE18385","large airways, non-smoker 044","Healthy Non-Smoker","large_airways"
"GSM252808","GSE18385","large airways, smoker 002","Smoker","large_airways"
"GSM252809","GSE18385","large airways, smoker 003","Smoker","large_airways"
"GSM252810","GSE18385","large airways, smoker 023","Smoker","large_airways"
"GSM252813...432","GSE18385","large airways, smoker 057","Smoker","large_airways"
"GSM252814...433","GSE18385","large airways, smoker 058","Smoker","large_airways"
"GSM252815...434","GSE18385","large airways, smoker 063","Smoker","large_airways"
"GSM252816...435","GSE18385","large airways, smoker 069","Smoker","large_airways"
"GSM252817...436","GSE18385","large airways, smoker 074","Smoker","large_airways"
"GSM252818...437","GSE18385","large airways, smoker 093","Smoker","large_airways"
"GSM252819...438","GSE18385","large airways, smoker 094","Smoker","large_airways"
"GSM252820...439","GSE18385","large airways, smoker 095","Smoker","large_airways"
"GSM252822...440","GSE18385","large airways, smoker 098","Smoker","large_airways"
"GSM252823...441","GSE18385","large airways, smoker 102","Smoker","large_airways"
"GSM252825...442","GSE18385","large airways, smoker 112","Smoker","large_airways"
"GSM252826...443","GSE18385","large airways, smoker 114","Smoker","large_airways"
"GSM252827...444","GSE18385","large airways, smoker 119","Smoker","large_airways"
"GSM252871...445","GSE18385","small airways, smoker 040","Smoker","small_airways"
"GSM252876...446","GSE18385","small airways, smoker 057","Smoker","small_airways"
"GSM252879...447","GSE18385","small airways, smoker 074","Smoker","small_airways"
"GSM252880...448","GSE18385","small airways, smoker 093","Smoker","small_airways"
"GSM252881...449","GSE18385","small airways, smoker 094","Smoker","small_airways"
"GSM252882...450","GSE18385","small airways, smoker 095","Smoker","small_airways"
"GSM252884...451","GSE18385","small airways, smoker 098","Smoker","small_airways"
"GSM252885...452","GSE18385","small airways, smoker 103","Smoker","small_airways"
"GSM254149...453","GSE18385","small airways, non-smoker 045","Healthy Non-Smoker","small_airways"
"GSM254150...454","GSE18385","small airways, non-smoker 059","Healthy Non-Smoker","small_airways"
"GSM254151...455","GSE18385","small airways, non-smoker 071","Healthy Non-Smoker","small_airways"
"GSM254152...456","GSE18385","small airways, non-smoker 078","Healthy Non-Smoker","small_airways"
"GSM254157...457","GSE18385","small airways, smoker 112","Smoker","small_airways"
"GSM254158...458","GSE18385","small airways, smoker 114","Smoker","small_airways"
"GSM254159...459","GSE18385","small airways, smoker 119","Smoker","small_airways"
"GSM254160...460","GSE18385","small airways, smoker 152","Smoker","small_airways"
"GSM254161...461","GSE18385","small airways, smoker 169","Smoker","small_airways"
"GSM256181...462","GSE18385","large airways, non-smoker 036","Healthy Non-Smoker","large_airways"
"GSM256182...463","GSE18385","large airways, non-smoker 038","Healthy Non-Smoker","large_airways"
"GSM256183...464","GSE18385","large airways, non-smoker 040","Healthy Non-Smoker","large_airways"
"GSM256184...465","GSE18385","large airways, non-smoker 041","Healthy Non-Smoker","large_airways"
"GSM256185...466","GSE18385","large airways, non-smoker 050","Healthy Non-Smoker","large_airways"
"GSM256186...467","GSE18385","large airways, non-smoker 047","Healthy Non-Smoker","large_airways"
"GSM256187...468","GSE18385","large airways, non-smoker 045","Healthy Non-Smoker","large_airways"
"GSM256188...469","GSE18385","large airways, non-smoker 006","Healthy Non-Smoker","large_airways"
"GSM256189...470","GSE18385","large airways, non-smoker 065","Healthy Non-Smoker","large_airways"
"GSM256190","GSE18385","large airways, non-smoker 066","Healthy Non-Smoker","large_airways"
"GSM256191...472","GSE18385","large airways, non-smoker 059","Healthy Non-Smoker","large_airways"
"GSM256192...473","GSE18385","large airways, non-smoker 072","Healthy Non-Smoker","large_airways"
"GSM256193...474","GSE18385","large airways, non-smoker 078","Healthy Non-Smoker","large_airways"
"GSM256194...475","GSE18385","large airways, non-smoker 071","Healthy Non-Smoker","large_airways"
"GSM256195...476","GSE18385","large airways, smoker 087","Smoker","large_airways"
"GSM256196...477","GSE18385","large airways, smoker 122","Smoker","large_airways"
"GSM256197...478","GSE18385","large airways, smoker 120","Smoker","large_airways"
"GSM256198...479","GSE18385","large airways, smoker 125","Smoker","large_airways"
"GSM256199...480","GSE18385","large airways, smoker 129","Smoker","large_airways"
"GSM256201...481","GSE18385","large airways, smoker 130","Smoker","large_airways"
"GSM256202...482","GSE18385","large airways, smoker 134","Smoker","large_airways"
"GSM256204...483","GSE18385","large airways, smoker 136","Smoker","large_airways"
"GSM256205...484","GSE18385","large airways, smoker 141","Smoker","large_airways"
"GSM256206...485","GSE18385","large airways, smoker 040","Smoker","large_airways"
"GSM256208...486","GSE18385","large airways, smoker 159","Smoker","large_airways"
"GSM256209...487","GSE18385","large airways, smoker 169","Smoker","large_airways"
"GSM256210...488","GSE18385","large airways, smoker 155","Smoker","large_airways"
"GSM256211...489","GSE18385","large airways, smoker 167","Smoker","large_airways"
"GSM256212...490","GSE18385","large airways, smoker 161","Smoker","large_airways"
"GSM298219...491","GSE18385","small airways, non-smoker 039","Healthy Non-Smoker","small_airways"
"GSM298220...492","GSE18385","small airways, non-smoker 046","Healthy Non-Smoker","small_airways"
"GSM298221...493","GSE18385","small airways, non-smoker 047","Healthy Non-Smoker","small_airways"
"GSM298222...494","GSE18385","small airways, non-smoker 048","Healthy Non-Smoker","small_airways"
"GSM298223...495","GSE18385","small airways, non-smoker 050","Healthy Non-Smoker","small_airways"
"GSM298224...496","GSE18385","small airways, non-smoker 055","Healthy Non-Smoker","small_airways"
"GSM298225...497","GSE18385","small airways, non-smoker 065","Healthy Non-Smoker","small_airways"
"GSM298226...498","GSE18385","small airways, non-smoker 072","Healthy Non-Smoker","small_airways"
"GSM298227...499","GSE18385","small airways, non-smoker 076","Healthy Non-Smoker","small_airways"
"GSM298228...500","GSE18385","small airways, non-smoker 080","Healthy Non-Smoker","small_airways"
"GSM298229...501","GSE18385","small airways, non-smoker 083","Healthy Non-Smoker","small_airways"
"GSM298230...502","GSE18385","small airways, smoker 087","Smoker","small_airways"
"GSM298231...503","GSE18385","small airways, smoker 102","Smoker","small_airways"
"GSM298232...504","GSE18385","small airways, smoker 120","Smoker","small_airways"
"GSM298233...505","GSE18385","small airways, smoker 122","Smoker","small_airways"
"GSM298234...506","GSE18385","small airways, smoker 123","Smoker","small_airways"
"GSM298235...507","GSE18385","small airways, smoker 125","Smoker","small_airways"
"GSM298236...508","GSE18385","small airways, smoker 129","Smoker","small_airways"
"GSM298237...509","GSE18385","small airways, smoker 130","Smoker","small_airways"
"GSM298238...510","GSE18385","small airways, smoker 134","Smoker","small_airways"
"GSM298239...511","GSE18385","small airways, smoker 136","Smoker","small_airways"
"GSM298240...512","GSE18385","small airways, smoker 141","Smoker","small_airways"
"GSM298241...513","GSE18385","small airways, smoker 155","Smoker","small_airways"
"GSM298242...514","GSE18385","small airways, smoker 159","Smoker","small_airways"
"GSM298243...515","GSE18385","small airways, smoker 161","Smoker","small_airways"
"GSM298244...516","GSE18385","small airways, smoker 164","Smoker","small_airways"
"GSM298245...517","GSE18385","small airways, smoker 167","Smoker","small_airways"
"GSM298246...518","GSE18385","small airways, smoker 176","Smoker","small_airways"
"GSM298247...519","GSE18385","small airways, smoker 177","Smoker","small_airways"
"GSM300859...520","GSE18385","small airways, non-smoker 085","Healthy Non-Smoker","small_airways"
"GSM302396...521","GSE18385","small airways, non-smoker 022","Healthy Non-Smoker","small_airways"
"GSM302397...522","GSE18385","small airways, non-smoker 066","Healthy Non-Smoker","small_airways"
"GSM302399...523","GSE18385","small airways, smoker 195","Smoker","small_airways"
"GSM350871...524","GSE18385","small airways, non-smoker 094","Healthy Non-Smoker","small_airways"
"GSM350874...525","GSE18385","small airways, smoker 188","Smoker","small_airways"
"GSM350955...526","GSE18385","small airways, non-smoker 110","Healthy Non-Smoker","small_airways"
"GSM350956...527","GSE18385","small airways, non-smoker 118","Healthy Non-Smoker","small_airways"
"GSM350957...528","GSE18385","small airways, smoker 208","Smoker","small_airways"
"GSM350958...529","GSE18385","small airways, smoker 246","Smoker","small_airways"
"GSM364046...530","GSE18385","small airways, smoker 226","Smoker","small_airways"
"GSM364048...531","GSE18385","small airways, smoker 240","Smoker","small_airways"
"GSM410161...532","GSE18385","small airways, non-smoker 124","Healthy Non-Smoker","small_airways"
"GSM410162...533","GSE18385","small airways, non-smoker 138","Healthy Non-Smoker","small_airways"
"GSM410163...534","GSE18385","small airways, non-smoker 141","Healthy Non-Smoker","small_airways"
"GSM410164...535","GSE18385","small airways, smoker 241","Smoker","small_airways"
"GSM410165...536","GSE18385","small airways, smoker 264","Smoker","small_airways"
"GSM434049...537","GSE18385","small airways, non-smoker 109","Healthy Non-Smoker","small_airways"
"GSM434050...538","GSE18385","small airways, non-smoker 119","Healthy Non-Smoker","small_airways"
"GSM434051...539","GSE18385","small airways, non-smoker 128","Healthy Non-Smoker","small_airways"
"GSM434052...540","GSE18385","small airways, non-smoker 137","Healthy Non-Smoker","small_airways"
"GSM434053...541","GSE18385","small airways, smoker 216","Smoker","small_airways"
"GSM434054...542","GSE18385","small airways, smoker 229","Smoker","small_airways"
"GSM434055...543","GSE18385","small airways, smoker 247","Smoker","small_airways"
"GSM434056...544","GSE18385","small airways, smoker 256","Smoker","small_airways"
"GSM434057...545","GSE18385","small airways, smoker 271","Smoker","small_airways"
"GSM434058...546","GSE18385","small airways, smoker 272","Smoker","small_airways"
"GSM434059...547","GSE18385","small airways, smoker 275","Smoker","small_airways"
"GSM434060...548","GSE18385","small airways, smoker 302","Smoker","small_airways"
"GSM434061...549","GSE18385","small airways, smoker 303","Smoker","small_airways"
"GSM434062...550","GSE18385","small airways, smoker 314","Smoker","small_airways"
"GSM434063...551","GSE18385","small airways, smoker 317","Smoker","small_airways"
"GSM458579...552","GSE18385","small airways, non-smoker 132","Healthy Non-Smoker","small_airways"
"GSM458580...553","GSE18385","small airways, non-smoker 155","Healthy Non-Smoker","small_airways"
"GSM458581...554","GSE18385","small airways, non-smoker 163","Healthy Non-Smoker","small_airways"
"GSM458582...555","GSE18385","small airways, non-smoker 169","Healthy Non-Smoker","small_airways"
"GSM101095...556","GSE20257","small airways, non-smoker 001, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101096...557","GSE20257","small airways, non-smoker 004, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101097...558","GSE20257","small airways, non-smoker 002, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101098...559","GSE20257","small airways, non-smoker 003, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101100...560","GSE20257","small airways, non-smoker 006, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101101...561","GSE20257","small airways, non-smoker 021, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101102...562","GSE20257","small airways, non-smoker 019, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101103...563","GSE20257","small airways, non-smoker 014, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101104...564","GSE20257","small airways, non-smoker 008, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101105...565","GSE20257","small airways, non-smoker 015, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101106...566","GSE20257","small airways, non-smoker 005, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101107...567","GSE20257","small airways, smoker 002, RMA and MAS","Smoker","small_airways"
"GSM101111...568","GSE20257","small airways, smoker 001, RMA and MAS","Smoker","small_airways"
"GSM101113...569","GSE20257","small airways, smoker 048, RMA and MAS","Smoker","small_airways"
"GSM101114...570","GSE20257","small airways, smoker 041, RMA and MAS","Smoker","small_airways"
"GSM101115...571","GSE20257","small airways, smoker 044, RMA and MAS","Smoker","small_airways"
"GSM101116...572","GSE20257","small airways, smoker 049, RMA and MAS","Smoker","small_airways"
"GSM114089...573","GSE20257","small airways, smoker 058, MAS5","Smoker","small_airways"
"GSM114090...574","GSE20257","small airways, smoker 063, MAS5","Smoker","small_airways"
"GSM190149...575","GSE20257","Small airways, non-smoker 011","Healthy Non-Smoker","small_airways"
"GSM190150...576","GSE20257","Small airways, non-smoker 029","Healthy Non-Smoker","small_airways"
"GSM190151...577","GSE20257","small airways, non-smoker 034","Healthy Non-Smoker","small_airways"
"GSM190152...578","GSE20257","Small airways, non-smoker 035","Healthy Non-Smoker","small_airways"
"GSM190153...579","GSE20257","Small airways, non-smoker 036","Healthy Non-Smoker","small_airways"
"GSM190154...580","GSE20257","Small airways, non-smoker 040","Healthy Non-Smoker","small_airways"
"GSM190155...581","GSE20257","Small airways, non-smoker 042","Healthy Non-Smoker","small_airways"
"GSM190156...582","GSE20257","small airways, non-smoker 044","Healthy Non-Smoker","small_airways"
"GSM252828...583","GSE20257","small airways, COPD 008","Smoker with COPD","small_airways"
"GSM252829","GSE20257","small airways, COPD 012","Smoker with COPD","small_airways"
"GSM252830...585","GSE20257","small airways, COPD 014","Smoker with COPD","small_airways"
"GSM252831...586","GSE20257","small airways, COPD 015","Smoker with COPD","small_airways"
"GSM252833...587","GSE20257","small airways, COPD 036","Smoker with COPD","small_airways"
"GSM252835...588","GSE20257","small airways, COPD 046","Smoker with COPD","small_airways"
"GSM252836...589","GSE20257","small airways, COPD 059","Smoker with COPD","small_airways"
"GSM252837...590","GSE20257","small airways, COPD 068","Smoker with COPD","small_airways"
"GSM252838...591","GSE20257","small airways, COPD 074","Smoker with COPD","small_airways"
"GSM252839...592","GSE20257","small airways, COPD 080","Smoker with COPD","small_airways"
"GSM252841...593","GSE20257","small airways, COPD 103","Smoker with COPD","small_airways"
"GSM252871...594","GSE20257","small airways, smoker 040","Smoker","small_airways"
"GSM252876...595","GSE20257","small airways, smoker 057","Smoker","small_airways"
"GSM252879...596","GSE20257","small airways, smoker 074","Smoker","small_airways"
"GSM252880...597","GSE20257","small airways, smoker 093","Smoker","small_airways"
"GSM252881...598","GSE20257","small airways, smoker 094","Smoker","small_airways"
"GSM252882...599","GSE20257","small airways, smoker 095","Smoker","small_airways"
"GSM252884...600","GSE20257","small airways, smoker 098","Smoker","small_airways"
"GSM252885...601","GSE20257","small airways, smoker 103","Smoker","small_airways"
"GSM254149...602","GSE20257","small airways, non-smoker 045","Healthy Non-Smoker","small_airways"
"GSM254150...603","GSE20257","small airways, non-smoker 059","Healthy Non-Smoker","small_airways"
"GSM254151...604","GSE20257","small airways, non-smoker 071","Healthy Non-Smoker","small_airways"
"GSM254152...605","GSE20257","small airways, non-smoker 078","Healthy Non-Smoker","small_airways"
"GSM254157...606","GSE20257","small airways, smoker 112","Smoker","small_airways"
"GSM254158...607","GSE20257","small airways, smoker 114","Smoker","small_airways"
"GSM254159...608","GSE20257","small airways, smoker 119","Smoker","small_airways"
"GSM254160...609","GSE20257","small airways, smoker 152","Smoker","small_airways"
"GSM254161...610","GSE20257","small airways, smoker 169","Smoker","small_airways"
"GSM254163...611","GSE20257","small airways, COPD 024","Smoker with COPD","small_airways"
"GSM254169...612","GSE20257","small airways, COPD 093","Smoker with COPD","small_airways"
"GSM254172...613","GSE20257","small airways, COPD 110","Smoker with COPD","small_airways"
"GSM254173...614","GSE20257","small airways, COPD 114","Smoker with COPD","small_airways"
"GSM254174...615","GSE20257","small airways, COPD 119","Smoker with COPD","small_airways"
"GSM254175...616","GSE20257","small airways, COPD 122","Smoker with COPD","small_airways"
"GSM254176...617","GSE20257","small airways, COPD 134","Smoker with COPD","small_airways"
"GSM298219...618","GSE20257","small airways, non-smoker 039","Healthy Non-Smoker","small_airways"
"GSM298220...619","GSE20257","small airways, non-smoker 046","Healthy Non-Smoker","small_airways"
"GSM298221...620","GSE20257","small airways, non-smoker 047","Healthy Non-Smoker","small_airways"
"GSM298222...621","GSE20257","small airways, non-smoker 048","Healthy Non-Smoker","small_airways"
"GSM298223...622","GSE20257","small airways, non-smoker 050","Healthy Non-Smoker","small_airways"
"GSM298224...623","GSE20257","small airways, non-smoker 055","Healthy Non-Smoker","small_airways"
"GSM298225...624","GSE20257","small airways, non-smoker 065","Healthy Non-Smoker","small_airways"
"GSM298226...625","GSE20257","small airways, non-smoker 072","Healthy Non-Smoker","small_airways"
"GSM298227...626","GSE20257","small airways, non-smoker 076","Healthy Non-Smoker","small_airways"
"GSM298228...627","GSE20257","small airways, non-smoker 080","Healthy Non-Smoker","small_airways"
"GSM298229...628","GSE20257","small airways, non-smoker 083","Healthy Non-Smoker","small_airways"
"GSM298230...629","GSE20257","small airways, smoker 087","Smoker","small_airways"
"GSM298231...630","GSE20257","small airways, smoker 102","Smoker","small_airways"
"GSM298232...631","GSE20257","small airways, smoker 120","Smoker","small_airways"
"GSM298233...632","GSE20257","small airways, smoker 122","Smoker","small_airways"
"GSM298234...633","GSE20257","small airways, smoker 123","Smoker","small_airways"
"GSM298235...634","GSE20257","small airways, smoker 125","Smoker","small_airways"
"GSM298236...635","GSE20257","small airways, smoker 129","Smoker","small_airways"
"GSM298237...636","GSE20257","small airways, smoker 130","Smoker","small_airways"
"GSM298238...637","GSE20257","small airways, smoker 134","Smoker","small_airways"
"GSM298239...638","GSE20257","small airways, smoker 136","Smoker","small_airways"
"GSM298240...639","GSE20257","small airways, smoker 141","Smoker","small_airways"
"GSM298241...640","GSE20257","small airways, smoker 155","Smoker","small_airways"
"GSM298242...641","GSE20257","small airways, smoker 159","Smoker","small_airways"
"GSM298243...642","GSE20257","small airways, smoker 161","Smoker","small_airways"
"GSM298244...643","GSE20257","small airways, smoker 164","Smoker","small_airways"
"GSM298245...644","GSE20257","small airways, smoker 167","Smoker","small_airways"
"GSM298246...645","GSE20257","small airways, smoker 176","Smoker","small_airways"
"GSM298247...646","GSE20257","small airways, smoker 177","Smoker","small_airways"
"GSM300859...647","GSE20257","small airways, non-smoker 085","Healthy Non-Smoker","small_airways"
"GSM302396...648","GSE20257","small airways, non-smoker 022","Healthy Non-Smoker","small_airways"
"GSM302397...649","GSE20257","small airways, non-smoker 066","Healthy Non-Smoker","small_airways"
"GSM302399...650","GSE20257","small airways, smoker 195","Smoker","small_airways"
"GSM350871...651","GSE20257","small airways, non-smoker 094","Healthy Non-Smoker","small_airways"
"GSM350873...652","GSE20257","small airways, non-smoker 103","Healthy Non-Smoker","small_airways"
"GSM350874...653","GSE20257","small airways, smoker 188","Smoker","small_airways"
"GSM350955...654","GSE20257","small airways, non-smoker 110","Healthy Non-Smoker","small_airways"
"GSM350956...655","GSE20257","small airways, non-smoker 118","Healthy Non-Smoker","small_airways"
"GSM350957...656","GSE20257","small airways, smoker 208","Smoker","small_airways"
"GSM350958...657","GSE20257","small airways, smoker 246","Smoker","small_airways"
"GSM364037","GSE20257","small airways, COPD 130","Smoker with COPD","small_airways"
"GSM364038...659","GSE20257","small airways, COPD 136","Smoker with COPD","small_airways"
"GSM364041...660","GSE20257","small airways, COPD 162","Smoker with COPD","small_airways"
"GSM364045...661","GSE20257","small airways, COPD 176","Smoker with COPD","small_airways"
"GSM364046...662","GSE20257","small airways, smoker 226","Smoker","small_airways"
"GSM364048...663","GSE20257","small airways, smoker 240","Smoker","small_airways"
"GSM410161...664","GSE20257","small airways, non-smoker 124","Healthy Non-Smoker","small_airways"
"GSM410162...665","GSE20257","small airways, non-smoker 138","Healthy Non-Smoker","small_airways"
"GSM410163...666","GSE20257","small airways, non-smoker 141","Healthy Non-Smoker","small_airways"
"GSM410164...667","GSE20257","small airways, smoker 241","Smoker","small_airways"
"GSM410165...668","GSE20257","small airways, smoker 264","Smoker","small_airways"
"GSM434049...669","GSE20257","small airways, non-smoker 109","Healthy Non-Smoker","small_airways"
"GSM434050...670","GSE20257","small airways, non-smoker 119","Healthy Non-Smoker","small_airways"
"GSM434051...671","GSE20257","small airways, non-smoker 128","Healthy Non-Smoker","small_airways"
"GSM434052...672","GSE20257","small airways, non-smoker 137","Healthy Non-Smoker","small_airways"
"GSM434053...673","GSE20257","small airways, smoker 216","Smoker","small_airways"
"GSM434054...674","GSE20257","small airways, smoker 229","Smoker","small_airways"
"GSM434055...675","GSE20257","small airways, smoker 247","Smoker","small_airways"
"GSM434056...676","GSE20257","small airways, smoker 256","Smoker","small_airways"
"GSM434057...677","GSE20257","small airways, smoker 271","Smoker","small_airways"
"GSM434058...678","GSE20257","small airways, smoker 272","Smoker","small_airways"
"GSM434059...679","GSE20257","small airways, smoker 275","Smoker","small_airways"
"GSM434060...680","GSE20257","small airways, smoker 302","Smoker","small_airways"
"GSM434061...681","GSE20257","small airways, smoker 303","Smoker","small_airways"
"GSM434062...682","GSE20257","small airways, smoker 314","Smoker","small_airways"
"GSM434063...683","GSE20257","small airways, smoker 317","Smoker","small_airways"
"GSM434064...684","GSE20257","small airways, COPD 094_2","Smoker with COPD","small_airways"
"GSM458579...685","GSE20257","small airways, non-smoker 132","Healthy Non-Smoker","small_airways"
"GSM458580...686","GSE20257","small airways, non-smoker 155","Healthy Non-Smoker","small_airways"
"GSM458581...687","GSE20257","small airways, non-smoker 163","Healthy Non-Smoker","small_airways"
